rank,country,population,area,population_number,alpha3_code,population_density
1,China,1.43 billion,9.71 million km2,1425887337,CHN,146.89 per km2
2,India,1.42 billion,3.29 million km2,1417173173,IND,431.07 per km2
3,United States,338.29 million,9.37 million km2,338289857,USA,36.09 per km2
4,Indonesia,275.5 million,1.9 million km2,275501339,IDN,144.65 per km2
5,Pakistan,235.82 million,881.91 thousand km2,235824862,PAK,267.4 per km2
6,Nigeria,218.54 million,923.77 thousand km2,218541212,NGA,236.58 per km2
7,Brazil,215.31 million,8.52 million km2,215313498,BRA,25.28 per km2
8,Bangladesh,171.19 million,147.57 thousand km2,171186372,BGD,1160.04 per km2
9,Russia,144.71 million,17.1 million km2,144713314,RUS,8.46 per km2
10,Mexico,127.5 million,1.96 million km2,127504125,MEX,64.91 per km2
11,Japan,123.95 million,377.93 thousand km2,123951692,JPN,327.98 per km2
12,Ethiopia,123.38 million,1.1 million km2,123379924,ETH,111.73 per km2
13,Philippines,115.56 million,342.35 thousand km2,115559009,PHL,337.54 per km2
14,Egypt,110.99 million,1.0 million km2,110990103,EGY,110.72 per km2
15,DR Congo,99.01 million,2.34 million km2,99010212,COD,42.22 per km2
16,Vietnam,98.19 million,331.21 thousand km2,98186856,VNM,296.45 per km2
17,Iran,88.55 million,1.65 million km2,88550570,IRN,53.73 per km2
18,Turkey,85.34 million,783.56 thousand km2,85341241,TUR,108.91 per km2
19,Germany,83.37 million,357.11 thousand km2,83369843,DEU,233.45 per km2
20,Thailand,71.7 million,513.12 thousand km2,71697030,THA,139.73 per km2
21,United Kingdom,67.51 million,242.9 thousand km2,67508936,BGR,277.93 per km2
22,Tanzania,65.5 million,945.09 thousand km2,65497748,TZA,69.3 per km2
23,France,64.63 million,551.7 thousand km2,64626628,FRA,117.14 per km2
24,South Africa,59.89 million,1.22 million km2,59893885,ZAF,49.05 per km2
25,Italy,59.04 million,301.34 thousand km2,59037474,ITA,195.92 per km2
26,England,57.37 million,130.28 thousand km2,57367811,GBR,440.35 per km2
27,Myanmar,54.18 million,676.58 thousand km2,54179306,MMR,80.08 per km2
28,Kenya,54.03 million,580.37 thousand km2,54027487,KEN,93.09 per km2
29,Colombia,51.87 million,1.14 million km2,51874024,COL,45.43 per km2
30,South Korea,51.82 million,100.21 thousand km2,51815810,KOR,517.07 per km2
31,Spain,47.56 million,505.99 thousand km2,47558630,ESP,93.99 per km2
32,Uganda,47.25 million,241.55 thousand km2,47249585,UGA,195.61 per km2
33,Sudan,46.87 million,1.89 million km2,46874204,SDN,24.85 per km2
34,Argentina,45.51 million,2.78 million km2,45510318,ARG,16.37 per km2
35,Algeria,44.9 million,2.38 million km2,44903225,DZA,18.85 per km2
36,Iraq,44.5 million,438.32 thousand km2,44496122,IRQ,101.52 per km2
37,Afghanistan,41.13 million,652.23 thousand km2,41128771,AFG,63.06 per km2
38,Poland,39.86 million,312.68 thousand km2,39857145,POL,127.47 per km2
39,Ukraine,39.7 million,603.5 thousand km2,39701739,UKR,65.79 per km2
40,Canada,38.45 million,9.98 million km2,38454327,CAN,3.85 per km2
41,Morocco,37.46 million,446.55 thousand km2,37457971,MAR,83.88 per km2
42,Saudi Arabia,36.41 million,2.15 million km2,36408820,SAU,16.94 per km2
43,Angola,35.59 million,1.25 million km2,35588987,AGO,28.55 per km2
